,title,score,visitor,blog,address,alt,lon
0,유쿠키숍,None,44,19,전북 전주시 덕진구 송천로 40-8 1층 유쿠키숍,35.85692812,127.1187616
1,소규모치즈케이크공장,4.93,144,10,전북 전주시 덕진구 기린대로 550 3층 302호,35.84684967,127.1195535
2,우노스,4.4,552,103,전북 전주시 덕진구 권삼득로 350,35.84606116,127.1246161
3,오늘나의케이크,4.3,200,32,전북 전주시 덕진구 명륜4길 17 더붐상가 1층 107호,35.84345613,127.1265444
4,포멀커피,4.62,136,100,전북 전주시 덕진구 명륜2길 15-1,35.84192828,127.1287103
5,풀덤 전북대점,4.34,250,65,전북 전주시 덕진구 명륜4길 18-5 1층,35.84344481,127.1275392
6,쿠키버니비,4.8,72,60,전북 전주시 덕진구 기린대로 483-1 2층,35.84245302,127.1248321
7,OM커피,None,22,28,전북 전주시 덕진구 명륜1길 11-2 1층 OM커피,35.84094311,127.1294696
8,스타벅스 전북대점,4.49,"3,467",111,전북 전주시 덕진구 명륜4길 12,35.84295035,127.1268028
9,도란도란,None,190,119,전북 전주시 덕진구 삼송1길 4-1 도란도란 카페,35.84124026,127.1328521
10,모모의다락방,4.21,87,73,"전북 전주시 덕진구 명륜5길 17 2,3층",None,None
11,스타벅스 전주덕진광장DT점,4.5,"3,502",93,전북 전주시 덕진구 기린대로 491,35.84294578,127.1242736
12,할리스 전주백제대로점,4.36,278,27,전북 전주시 덕진구 백제대로 592,35.8409066,127.1345612
13,카페 프로바이더,4.41,238,259,전북 전주시 덕진구 명륜3길 13-1,35.8425975,127.1275767
14,스타벅스 전북대병원DT점,4.49,"3,076",84,전북 전주시 덕진구 백제대로 616,35.84158153,127.1369769
15,파스쿠찌백제대로DT점,4.38,"1,071",25,전북 전주시 덕진구 백제대로 556 파스쿠찌,35.83972752,127.1306894
16,폴바셋 전주 금암 DT점,4.49,"3,973",149,전북 전주시 덕진구 금암동 711-3,35.83831709,127.1308262
17,당도,4.54,51,43,전북 전주시 덕진구 조경단로 104 1층 당도,35.84362906,127.1388916
18,인솔커피 전북대점,4.56,475,98,전북 전주시 덕진구 권삼득로 315 1층 인솔커피 전북대점,35.84372424,127.1274959
19,드롭탑 전북대점,4.33,245,39,"전북 전주시 덕진구 명륜4길 22 2,3층",None,None
20,빽다방 전북대1호점,4.42,"1,043",35,전북 전주시 덕진구 권삼득로 301,35.84310696,127.1286088
21,메리엔다,4.55,59,19,전북 전주시 덕진구 조경단로 107 2층 카페 merienda,35.84384068,127.1383348
22,친구네집만화카페,4.59,35,48,전북 전주시 덕진구 명륜3길 9-1 2층,35.84233575,127.1268283
23,심쿵카페,4.66,233,38,전북 전주시 덕진구 권삼득로 315,35.84372424,127.1274959
24,더리터 전북대점,4.49,205,6,전북 전주시 덕진구 명륜5길 19,35.84446252,127.1259868
25,작심스터디카페 전북대점,4.75,35,9,전북 전주시 덕진구 권삼득로 325 2층,35.84439839,127.1266391
26,층층제과,4.57,102,50,전북 전주시 덕진구 들사평4길 6 1층상가,35.84189009,127.1228305
27,와플대학 전북대캠퍼스,4.4,334,26,전북 전주시 덕진구 권삼득로 333,35.84492391,127.1258679
28,미스터보드,4.44,65,33,전북 전주시 덕진구 명륜3길 19 3층 미스터보드,35.8429514,127.1279363
29,공차 전북대점,4.47,"1,519",23,전북 전주시 덕진구 권삼득로 311,35.84360083,127.1278664
30,포디움,4.36,453,107,전북 전주시 덕진구 떡전3길 7-1,35.8380057,127.1279861
31,쪼오꼬 전북대점,4.24,51,1,전북 전주시 덕진구 기린대로 464 1층 쪼오꼬,35.84170377,127.127015
32,엔제리너스 전북대점,4.25,359,5,전북 전주시 덕진구 권삼득로 343 1층,35.8453962,127.1251477
33,왓 더 화이트 카페,None,25,34,전북 전주시 덕진구 권삼득로 343 1층 왓 더 화이트,35.8453962,127.1251477
34,세븐스트릿,4.62,80,7,전북 전주시 덕진구 명륜2길 15-16 정감빌딩1층,35.84226775,127.1286578
35,오스스퀘어,4.45,534,255,전북 전주시 덕진구 권삼득로 290 삼성문화회관 1층 오스스퀘어,35.84327452,127.1300175
36,작은곰자리,4.45,113,49,전북 전주시 덕진구 명륜2길 11-10,35.84196385,127.1282267
37,여유,None,65,17,전북 전주시 덕진구 백제대로 595,35.84161992,127.1347458
38,아로미마실,4.5,128,8,전북 전주시 덕진구 백제대로 567,35.8411407,127.1315899
39,보드박스,4.45,26,39,전북 전주시 덕진구 명륜3길 10-2 2층,35.84212268,127.1275262
40,커피발전소엘오지,4.28,308,86,전북 전주시 덕진구 권삼득로 379,35.84645522,127.1215957
41,명륜,None,20,43,전북 전주시 덕진구 명륜5길 10-2 코원빌딩 1층 102호,35.84317386,127.1255118
42,소규모치즈케이크공장,4.93,144,10,전북 전주시 덕진구 기린대로 550 3층 302호,35.84684967,127.1195535
43,네커피,4.57,104,5,전북 전주시 덕진구 삼송5길 14-18 네커피,35.84352124,127.1379801
44,카페이프온리,4.5,86,33,전북 전주시 덕진구 명륜3길 18-4,35.84243571,127.1280917
45,꿈공스터디카페 전주전북대점,4.68,143,6,전북 전주시 덕진구 권삼득로 321 3층,35.8442169,127.1269598
46,고매드비,4.7,259,13,전북 전주시 덕진구 명륜2길 16-5,35.84171642,127.1291884
47,또또커피,4.53,30,2,전북 전주시 덕진구 삼송3길 11-1 1층 또또커피,35.84237954,127.1351106
48,스위머,None,12,9,전북 전주시 덕진구 삼송3길 49 1층,35.84378307,127.1378073
49,카페다잉,4.67,391,72,전북 전주시 덕진구 사평로 65 1층,35.84302974,127.1229087
50,라므아르,4.58,77,77,전북 전주시 덕진구 권삼득로 223-1 라므아르,35.83786961,127.1344224
51,느티나무,4.45,49,14,전북 전주시 덕진구 백제대로 567,35.8411407,127.1315899
52,흑화당 전주 전북대점,4.32,122,23,전북 전주시 덕진구 명륜4길 23,35.84394454,127.1271241
53,한옥마을기정떡 금암점,None,6,5,전북 전주시 덕진구 떡전로 20,35.83665216,127.1276787
