,title,score,visitor,blog,address,alt,lon
0,CU 전북대학습관점,4.41,51,None,전북 전주시 덕진구 백제대로 567 중앙도서관 (금암동) 1층,35.8411407,127.1315899
1,CU 전북대훈산건지하우스,4.31,133,None,전북 전주시 덕진구 백제대로 567,35.8411407,127.1315899
2,CU 전북대공대점,3.97,97,1,전북 전주시 덕진구 백제대로 567 전북대학교,35.8411407,127.1315899
3,CU 전북대진수당점,4.56,147,5,전북 전주시 덕진구 백제대로 567 교육연구동,35.8411407,127.1315899
4,CU 전북대중앙도서관점,4,231,None,전북 전주시 덕진구 백제대로 567 전북대학교,35.8411407,127.1315899
5,CU 전북대학생회관점,4.1,231,7,전북 전주시 덕진구 백제대로 567 전북대학교,35.8411407,127.1315899
6,CU 전북대건지점,3.28,45,None,전북 전주시 덕진구 조경단로 117 전북사대부설고등학교,35.84591737,127.1359576
7,CU 전북대중앙점,4.28,85,None,전북 전주시 덕진구 삼송1길 25 대성타운,35.84591737,127.1338517
8,GS25 전북대타운점,4.36,97,None,전북 전주시 덕진구 삼송1길 34,35.84278601,127.1347044
9,GS25 전북대중앙점,4.32,81,None,전북 전주시 덕진구 삼송3길 12 지하1층,35.84221634,127.1353328
10,CU 전북대타운점,4.41,120,None,전북 전주시 덕진구 명륜3길 17 (덕진동1가),35.8427804,127.127797
11,GS25 뉴전북대점,None,5,None,전북 전주시 덕진구 삼송3길 47 1층,35.84386171,127.1376813
12,CU 전북대스타점,None,35,1,"전북 전주시 덕진구 권삼득로 333 (덕진동1가) 1층 101, 102호",35.84492391,127.1258679
13,GS25 전북대사랑점,4.48,239,3,전북 전주시 덕진구 명륜2길 13 1264-21),None,None
14,GS25 금암스위트점,4.24,199,None,전북 전주시 덕진구 떡전4길 12,35.83811262,127.1288795
15,CU 전주금암점,4.2,279,1,전북 전주시 덕진구 기린대로 398,35.83768402,127.1324951
16,CU 전북대병원점,4.3,230,3,전북 전주시 덕진구 건지로 12 (금암동) 1층,35.84478915,127.1427407
17,GS25 덕진공원점,4.39,517,1,전북 전주시 덕진구 덕진연못3길 9,35.84686315,127.1205855
18,CU 금암본점,4.05,415,1,전북 전주시 덕진구 떡전4길 31,35.83689901,127.1306125
19,GS25 덕진스타점,4.68,169,1,전북 전주시 덕진구 들사평3길 16-2,35.84059045,127.1224997
20,세븐일레븐 전주교보점,4.24,189,None,전북 전주시 덕진구 용산3길 15 전주회관,35.83643437,127.1327897
21,GS25 뉴금암파크점,4.23,185,None,전북 전주시 덕진구 용산2길 6,35.83625469,127.1308703
22,GS25 금암나래점,4.58,161,None,전북 전주시 덕진구 거북바우3길 13 금암중앙하이츠아파트,35.83800194,127.1390741
23,GS25 전주분수광장점,4.41,134,1,전북 전주시 덕진구 기린대로 364-145 1층 상가 (금암동 480-16),35.83594463,127.1352916
24,GS25 덕진호반점,4.19,57,None,전북 전주시 덕진구 권삼득로 422 1층 (덕진동2가 167-29),35.84933273,127.1183669
25,CU 금암파크점,4.14,157,None,전북 전주시 덕진구 용산1길 12 금암상가맨션아파트,35.83495176,127.1305249
26,GS25 뉴전주터미널점,4.27,224,None,전북 전주시 덕진구 가리내로 70,35.8344949,127.1292818
27,CU 전주터미널점,4.33,564,1,전북 전주시 덕진구 가리내로 34,35.83428995,127.1323552
28,편의점사랑,None,7,None,전북 전주시 덕진구 견훤왕궁로 258,35.84107673,127.1455664
29,세븐일레븐 전주금암점,4.26,275,None,전북 전주시 덕진구 가리내로 27,35.83396253,127.1330025
30,CU 덕진경기장점,4.37,200,1,전북 전주시 덕진구 들사평서로 16,35.83765341,127.1209231
31,GS25 원대한방병원점,4.15,52,None,"전북 전주시 덕진구 가련산로 99 1층 (덕진동2가 142-1, 원광대학교한방병원)",35.84700562,127.1162126
32,미니스톱 송천솔빛점,4.32,153,None,전북 전주시 덕진구 솔내7길 10,35.85970993,127.122264
33,CU 전주여고명문점,4.57,214,None,전북 전주시 덕진구 모래내6길 15,35.83482466,127.14553
34,CU 전주서일점,4.3,288,None,전북 전주시 완산구 새터로 99 동아한일아파트 상가,35.83567767,127.1175629
35,CU 전주진북점,4.5,78,None,전북 전주시 덕진구 권삼득로 136,35.83206208,127.141183
36,CU 송천서호점,4.21,106,None,전북 전주시 덕진구 송천로 47 103호,35.85747716,127.1180285
37,GS25 송천한솔점,4.42,78,None,"전북 전주시 덕진구 솔내8길 23-6 1호,2호 (송천동1가 108)",35.86149031,127.1241526
38,GS25 전주송천점,4.31,211,None,전북 전주시 덕진구 솔내8길 10,35.86099941,127.1224758
39,씨스페이스24 인후점,None,2,None,전북 전주시 덕진구 안덕원로 181-1,35.83492965,127.1471657
40,CU 전주진북우성점,4.36,328,None,전북 전주시 덕진구 벚꽃로 57 (진북동) 우성아파트,35.82971516,127.1357465
41,CU 송천신일점,4.23,321,1,전북 전주시 덕진구 솔내로 139,35.86251059,127.1265998
42,CU 인후어울림점,4.18,90,None,전북 전주시 덕진구 심방죽5길 1,35.84043594,127.1517601
43,미니스톱 송천진흥점,4.44,68,None,전북 전주시 덕진구 오송1길 37-5,35.86323274,127.1305801
44,세븐일레븐 전주송천우림점,4.3,225,None,전북 전주시 덕진구 솔내9길 10 1동,35.86246554,127.125729
45,미니스톱 송천현대점,4.31,97,None,전북 전주시 덕진구 오송1길 13 1층,35.86316389,127.1282315
46,GS25 서신동아점,4.31,308,None,전북 전주시 완산구 당산로 99 서신상가,35.83246509,127.1192592
47,GS25 진북중앙점,4.29,164,1,전북 전주시 덕진구 안덕원로 115,35.83070509,127.142003
48,GS25 진북오피스점,4.29,317,None,전북 전주시 덕진구 벚꽃로 40,35.82881578,127.1339926
49,CU 송천진흥점,4.36,138,None,"전북 전주시 덕진구 천마산로 100 (송천동1가, 진흥더블파크아파트) 진흥더블파크아파트",35.86477149,127.1317063
50,CU KCC스위첸점,4.16,569,None,전북 전주시 덕진구 오송1길 37-13,35.86391012,127.1306684
51,세븐일레븐 전주서신아이파크점,4.55,161,None,전북 전주시 완산구 전룡로 121 세븐일레븐 전주서신아이파크점,35.82918196,127.125909
52,픽미픽미아이스 전주인후점,None,19,1,전북 전주시 덕진구 건지4길 9,35.84542047,127.1455316
