,title,score,visitor,blog,address,alt,lon
0,소나무한의원,None,154,5,전북 전주시 덕진구 기린대로 458-3,35.841648380461,127.127324322473
1,전북대학교병원,None,860,159,전북 전주시 덕진구 건지로 20 전북대학교병원,35.8478852757092,127.141104346668
2,스타벅스 전북대병원DT점,4.49,"3,076",84,전북 전주시 덕진구 백제대로 616,35.8415815275528,127.136976903623
3,전북대학교병원 권역호스피스센터,None,None,None,전북 전주시 덕진구 건지로 20 권역응급의료센터 3층,35.8478852757092,127.141104346668
4,죽이야기 전주 전북대병원점,4.25,675,4,전북 전주시 덕진구 건지로 20,35.8478852757092,127.141104346668
5,할리스 전북대병원점,4.29,225,5,전북 전주시 덕진구 건지로 20,35.8478852757092,127.141104346668
6,던킨도너츠전북대병원점,4.31,222,3,전북 전주시 덕진구 건지로 20,35.8478852757092,127.141104346668
7,전북은행 전북대병원지점,None,None,None,전북 전주시 덕진구 건지로 20 전북대학교병원,35.8478852757092,127.141104346668
8,이원건강의료기 전북대병원점,4.61,60,None,전북 전주시 덕진구 건지2길 9,35.8441646380073,127.141242651999
9,CU 전북대병원점,4.3,230,3,전북 전주시 덕진구 건지로 12 (금암동) 1층,35.8447891509972,127.142740657846
